pharmacyID,pharmacyName,phone,addressID
4106,Central Rx,7840568344,291191
4922,Crossroads,8903693730,407818
7649,Friends & Family Pharmacy,4314586471,446201
1987,Healthbest,4991789688,977746
5480,Kerr Drug,8177526388,199743
9169,Lowry’s Prescriptions,2357418657,914267
6029,Northport Pharmacy,3477475520,241421
9403,Pharmaca Integrative,4952019548,870303
5527,Providence Plaza,2587010440,463864
5450,Reliable Rexall,9756124652,671837
9139,Revco Discount Drugs,4573536233,601387
5294,The Chemist,9432382970,888485
6674,The Downtown Dispensary,1152427474,281001
4938,University Pharmacy,4430956522,808727
2165,Wellness RX,1771856655,614529
9647,Covenant Pharmacy,8173056359,183887
9675,Customceutical Compounding,6746286471,622414
9645,Frost Medical Pharmacy,7232290194,721475
6847,Globe Pharmacy,3067144083,425978
8669,Greensburg Family Pharmacy,5971465116,266161
6998,Healthlink,5219894650,143766
1628,IDL Drug Stores,2595855096,584133
4749,Lifechek,4782821667,699637
8829,Lyfe Pharmacy,1916772743,908596
1724,Mediserv,8943959108,472715
3253,Omnicare,6924061310,494436
9010,Pavilions Pharmacy,2575198584,164911
9517,Pharmacy Partners,7731739080,336361
5564,Publix Pharmacy,2376502123,692539
8594,Right Drugs,4386863293,163464
8737,RX Express,6667522742,744955
1145,Spot Rx,2698484690,700135
3810,Trinity Pharmacy,8006948797,689602
5834,Vista Pharmacy,4651398232,135736
3563,Vitasource,9322507047,365018
5531,Wellocity,1499471939,846358
8628,Zenrx,5946808745,664827
8320,Adams Drugs,9267409021,991242
5953,Brennen Drugs Co,7261913235,950782
7999,Cherry Street Pharmacy,8103037245,469906
7637,City Drug,4694704604,624878
5100,Eastlake Pharmacy,5762359453,856962
5271,Eastside Pharmacy and Compounding,7925945632,231709
5155,Guardian Pharmacy,9051512127,370916
4380,Healthy Floyds,2900212033,908802
8173,Innovia Drug Stores,6606565006,474435
9800,Maplewood Pharmacy,5440911948,378677
5683,Med-X Drug,8773751625,524649
5144,Northwest Medication Management,5557541121,481333
3724,Pearl River Pharmacy,5242811269,931965
8910,Pure Care Pharmacy,5023965934,311425
1332,Rite Aid,3146864183,736438
2245,Rxtra,7496517164,348709
3352,Wellwise,9451332603,816716
1570,White Pigeon Pharmacy,8116046517,554501
